,Regione,Totale Deceduti 2020,Totale Deceduti 2021,Totale Deceduti 2022
0,Abruzzo,1213,2640,3831
1,Basilicata,256,634,1011
2,Calabria,472,1613,3207
3,Campania,2844,8467,11547
4,Emilia-Romagna,7738,14216,18955
5,Friuli Venezia Giulia,1642,4213,5852
6,Lazio,3769,9269,12542
7,Liguria,2891,4586,5767
8,Lombardia,25123,35081,44741
9,Marche,1571,3244,4293
10,Molise,191,512,705
11,P.A. Bolzano,739,1305,1600
12,P.A. Trento,942,1422,1632
13,Piemonte,7922,12050,13788
14,Puglia,2472,6987,9425
15,Sardegna,747,1728,2870
16,Sicilia,2412,7502,12445
17,Toscana,3673,7558,11361
18,Umbria,624,1504,2339
19,Valle d'Aosta,379,488,564
20,Veneto,6539,12383,16317
