,Regione,Totale Dimessi Guariti 2020,Totale Dimessi Guariti 2021,Totale Dimessi Guariti 2022
0,Abruzzo,23028,86882,616669
1,Basilicata,4519,31025,187862
2,Calabria,14631,93932,606100
3,Campania,109574,497266,2352978
4,Emilia-Romagna,106428,445248,2065211
5,Friuli Venezia Giulia,36587,139359,554630
6,Lazio,84109,423884,2266995
7,Liguria,51958,131860,642151
8,Lombardia,399157,929903,3980368
9,Marche,28875,134580,692747
10,Molise,4425,14836,92837
11,P.A. Bolzano,18729,94322,287669
12,P.A. Trento,19036,54313,238084
13,Piemonte,161649,409901,1656146
14,Puglia,35490,277660,1571062
15,Sardegna,13913,78514,490341
16,Sicilia,57364,322520,1733389
17,Toscana,106977,299741,1482138
18,Umbria,24559,67935,422273
19,Valle d'Aosta,6483,13574,48718
20,Veneto,156263,540042,2576029
