,denominazione_regione,popolazione_maschile,popolazione_femminile,popolazione_totale
0,Abruzzo,631743,662198,1293941
1,Basilicata,272150,281104,553254
2,P.A. Bolzano,263592,269052,532644
3,Calabria,927732,966378,1894110
4,Campania,2784616,2927527,5712143
5,Emilia-Romagna,2173781,2290338,4464119
6,Friuli Venezia Giulia,586719,619497,1206216
7,Lazio,2779181,2976519,5755700
8,Liguria,730371,794455,1524826
9,Lombardia,4698263,4898823,9597086
10,Marche,735691,776981,1512672
11,Molise,147953,152563,300516
12,Piemonte,2095058,2216159,4311217
13,Puglia,1923532,2029773,3953305
14,Sardegna,791696,819925,1611621
15,Sicilia,2370942,2504348,4875290
16,Toscana,1784318,1908237,3692555
17,P.A. Trento,267914,277511,545425
18,Umbria,419894,450271,870165
19,Valle d'Aosta,61121,63913,125034
20,Veneto,2389717,2489416,4879133
